date,product_sub_category,dma_code,organic_clicks,paid_clicks
2023-07-01,womens_apparel,1001,4,0
2023-07-01,womens_apparel,1002,6,0
2023-07-01,womens_apparel,1003,1,0
2023-07-01,womens_apparel,1004,2,0
2023-07-01,womens_apparel,1005,1,0
2023-07-01,womens_apparel,1006,9,0
2023-07-01,womens_apparel,1007,4,0
2023-07-01,womens_apparel,1008,19,0
2023-07-01,womens_apparel,1009,5,0
2023-07-01,womens_apparel,1010,8,0
2023-07-01,womens_apparel,1011,4,0
2023-07-01,womens_apparel,1012,8,0
2023-07-01,womens_apparel,1013,2,0
2023-07-01,womens_apparel,1014,3,0
2023-07-01,womens_apparel,1015,3,0
2023-07-01,womens_apparel,1016,4,0
2023-07-01,womens_apparel,1017,2,0
2023-07-01,womens_apparel,1018,5,0
2023-07-01,womens_apparel,1019,4,0
2023-07-01,womens_apparel,1020,7,0
2023-07-01,womens_apparel,1021,6,0
2023-07-01,womens_apparel,1022,1,0
2023-07-01,womens_apparel,1023,2,0
2023-07-01,womens_apparel,1024,4,0
2023-07-01,womens_apparel,1025,23,0
2023-07-01,womens_apparel,1026,4,0
2023-07-01,womens_apparel,1027,5,0
2023-07-01,womens_apparel,1028,6,0
2023-07-01,womens_apparel,1029,3,0
2023-07-01,womens_apparel,1030,4,0
2023-07-01,womens_apparel,1031,5,0
2023-07-01,womens_apparel,1032,53,0
2023-07-01,womens_apparel,1033,4,0
2023-07-01,womens_apparel,1034,1,0
2023-07-01,womens_apparel,1035,5,0
2023-07-01,womens_apparel,1036,18,0
2023-07-01,womens_apparel,1037,11,0
2023-07-01,womens_apparel,1038,3,0
2023-07-01,womens_apparel,1039,6,0
2023-07-01,womens_apparel,1040,5,0
2023-07-01,womens_apparel,1041,3,0
2023-07-01,womens_apparel,1042,4,0
2023-07-01,womens_apparel,1043,5,0
2023-07-01,womens_apparel,1044,7,0
2023-07-01,womens_apparel,1045,9,0
2023-07-01,womens_apparel,1046,12,0
2023-07-01,womens_apparel,1047,6,0
2023-07-01,womens_apparel,1048,6,0
2023-07-01,womens_apparel,1049,9,0
2023-07-01,womens_apparel,1050,3,0
2023-07-01,mens_apparel,1001,2,0
2023-07-01,mens_apparel,1002,4,0
2023-07-01,mens_apparel,1003,2,0
2023-07-01,mens_apparel,1004,1,0
2023-07-01,mens_apparel,1005,4,0
2023-07-01,mens_apparel,1006,5,0
2023-07-01,mens_apparel,1007,4,0
2023-07-01,mens_apparel,1008,12,0
2023-07-01,mens_apparel,1009,3,0
2023-07-01,mens_apparel,1010,6,0
2023-07-01,mens_apparel,1011,2,0
2023-07-01,mens_apparel,1012,7,0
2023-07-01,mens_apparel,1013,3,0
2023-07-01,mens_apparel,1014,7,0
2023-07-01,mens_apparel,1015,1,0
2023-07-01,mens_apparel,1016,0,0
2023-07-01,mens_apparel,1017,2,0
2023-07-01,mens_apparel,1018,1,0
2023-07-01,mens_apparel,1019,1,0
2023-07-01,mens_apparel,1020,7,0
2023-07-01,mens_apparel,1021,7,0
2023-07-01,mens_apparel,1022,3,0
2023-07-01,mens_apparel,1023,2,0
2023-07-01,mens_apparel,1024,4,0
2023-07-01,mens_apparel,1025,31,0
2023-07-01,mens_apparel,1026,3,0
2023-07-01,mens_apparel,1027,3,0
2023-07-01,mens_apparel,1028,1,0
2023-07-01,mens_apparel,1029,7,0
2023-07-01,mens_apparel,1030,4,0
2023-07-01,mens_apparel,1031,1,0
2023-07-01,mens_apparel,1032,46,0
2023-07-01,mens_apparel,1033,3,0
2023-07-01,mens_apparel,1034,3,0
2023-07-01,mens_apparel,1035,2,0
2023-07-01,mens_apparel,1036,11,0
2023-07-01,mens_apparel,1037,4,0
2023-07-01,mens_apparel,1038,4,0
2023-07-01,mens_apparel,1039,2,0
2023-07-01,mens_apparel,1040,6,0
2023-07-01,mens_apparel,1041,4,0
2023-07-01,mens_apparel,1042,4,0
2023-07-01,mens_apparel,1043,6,0
2023-07-01,mens_apparel,1044,1,0
2023-07-01,mens_apparel,1045,5,0
2023-07-01,mens_apparel,1046,8,0
2023-07-01,mens_apparel,1047,2,0
2023-07-01,mens_apparel,1048,1,0
2023-07-01,mens_apparel,1049,2,0
2023-07-01,mens_apparel,1050,2,0
2023-07-01,boys_apparel,1001,2,0
2023-07-01,boys_apparel,1002,5,0
2023-07-01,boys_apparel,1003,0,0
2023-07-01,boys_apparel,1004,1,0
2023-07-01,boys_apparel,1005,1,0
2023-07-01,boys_apparel,1006,5,0
2023-07-01,boys_apparel,1007,4,0
2023-07-01,boys_apparel,1008,7,0
2023-07-01,boys_apparel,1009,5,0
2023-07-01,boys_apparel,1010,1,0
2023-07-01,boys_apparel,1011,1,0
2023-07-01,boys_apparel,1012,8,0
2023-07-01,boys_apparel,1013,4,0
2023-07-01,boys_apparel,1014,3,0
2023-07-01,boys_apparel,1015,3,0
2023-07-01,boys_apparel,1016,1,0
2023-07-01,boys_apparel,1017,1,0
2023-07-01,boys_apparel,1018,1,0
2023-07-01,boys_apparel,1019,5,0
2023-07-01,boys_apparel,1020,6,0
2023-07-01,boys_apparel,1021,3,0
2023-07-01,boys_apparel,1022,2,0
2023-07-01,boys_apparel,1023,2,0
2023-07-01,boys_apparel,1024,1,0
2023-07-01,boys_apparel,1025,15,0
2023-07-01,boys_apparel,1026,0,0
2023-07-01,boys_apparel,1027,6,0
2023-07-01,boys_apparel,1028,1,0
2023-07-01,boys_apparel,1029,1,0
2023-07-01,boys_apparel,1030,3,0
2023-07-01,boys_apparel,1031,2,0
2023-07-01,boys_apparel,1032,43,0
2023-07-01,boys_apparel,1033,4,0
2023-07-01,boys_apparel,1034,1,0
2023-07-01,boys_apparel,1035,1,0
2023-07-01,boys_apparel,1036,12,0
2023-07-01,boys_apparel,1037,3,0
2023-07-01,boys_apparel,1038,1,0
2023-07-01,boys_apparel,1039,2,0
2023-07-01,boys_apparel,1040,1,0
2023-07-01,boys_apparel,1041,2,0
2023-07-01,boys_apparel,1042,5,0
2023-07-01,boys_apparel,1043,1,0
2023-07-01,boys_apparel,1044,2,0
2023-07-01,boys_apparel,1045,13,0
2023-07-01,boys_apparel,1046,4,0
2023-07-01,boys_apparel,1047,3,0
2023-07-01,boys_apparel,1048,3,0
2023-07-01,boys_apparel,1049,12,0
2023-07-01,boys_apparel,1050,1,0
2023-07-01,girls_apparel,1001,0,0
2023-07-01,girls_apparel,1002,5,0
2023-07-01,girls_apparel,1003,2,0
2023-07-01,girls_apparel,1004,3,0
2023-07-01,girls_apparel,1005,2,0
2023-07-01,girls_apparel,1006,7,0
2023-07-01,girls_apparel,1007,2,0
2023-07-01,girls_apparel,1008,14,0
2023-07-01,girls_apparel,1009,4,0
2023-07-01,girls_apparel,1010,4,0
2023-07-01,girls_apparel,1011,2,0
2023-07-01,girls_apparel,1012,14,0
2023-07-01,girls_apparel,1013,4,0
2023-07-01,girls_apparel,1014,6,0
2023-07-01,girls_apparel,1015,1,0
2023-07-01,girls_apparel,1016,2,0
2023-07-01,girls_apparel,1017,3,0
2023-07-01,girls_apparel,1018,2,0
2023-07-01,girls_apparel,1019,1,0
2023-07-01,girls_apparel,1020,2,0
2023-07-01,girls_apparel,1021,1,0
2023-07-01,girls_apparel,1022,1,0
2023-07-01,girls_apparel,1023,2,0
2023-07-01,girls_apparel,1024,0,0
2023-07-01,girls_apparel,1025,27,0
2023-07-01,girls_apparel,1026,1,0
2023-07-01,girls_apparel,1027,4,0
2023-07-01,girls_apparel,1028,0,0
2023-07-01,girls_apparel,1029,1,0
2023-07-01,girls_apparel,1030,3,0
2023-07-01,girls_apparel,1031,1,0
2023-07-01,girls_apparel,1032,51,0
2023-07-01,girls_apparel,1033,3,0
2023-07-01,girls_apparel,1034,3,0
2023-07-01,girls_apparel,1035,1,0
2023-07-01,girls_apparel,1036,4,0
2023-07-01,girls_apparel,1037,2,0
2023-07-01,girls_apparel,1038,1,0
2023-07-01,girls_apparel,1039,4,0
2023-07-01,girls_apparel,1040,5,0
2023-07-01,girls_apparel,1041,5,0
2023-07-01,girls_apparel,1042,1,0
2023-07-01,girls_apparel,1043,2,0
2023-07-01,girls_apparel,1044,4,0
2023-07-01,girls_apparel,1045,5,0
2023-07-01,girls_apparel,1046,4,0
2023-07-01,girls_apparel,1047,0,0
2023-07-01,girls_apparel,1048,1,0
