date,hour,day_of_week,device,ad_id,total_clicks,avg_cost_per_click
2023-11-01,11,2,MOBILE,1001,3,2.8983399596982955
2023-11-01,12,2,MOBILE,1002,1,2.008006450439997
2023-11-01,13,2,MOBILE,1001,4,3.7606365458131874
2023-11-01,13,2,MOBILE,1002,8,2.305475164477561
2023-11-01,14,2,MOBILE,1001,3,1.1353836212310038
2023-11-01,14,2,MOBILE,1002,4,1.0866248844032425
2023-11-01,16,2,MOBILE,1001,3,1.686168498833477
2023-11-01,17,2,MOBILE,1001,2,2.4828428608983497
2023-11-01,17,2,MOBILE,1003,3,3.3948266464284877
2023-11-01,18,2,MOBILE,1001,7,2.078202067391073
2023-11-01,18,2,MOBILE,1003,4,3.5448680959587437
2023-11-01,19,2,MOBILE,1001,2,1.516986085057742
2023-11-01,19,2,MOBILE,1003,7,3.371744228499811
2023-11-01,20,2,MOBILE,1001,4,1.9867615785866903
2023-11-01,20,2,MOBILE,1003,8,3.3172757418383005
2023-11-01,21,2,MOBILE,1001,4,2.806188385309246
2023-11-01,21,2,MOBILE,1003,4,3.6305880507569865
2023-11-02,11,3,MOBILE,1001,6,2.206355426888024
2023-11-02,11,3,MOBILE,1002,3,2.122202829615762
2023-11-02,12,3,MOBILE,1001,1,2.5633353145530524
2023-11-02,12,3,MOBILE,1002,10,2.120610309599693
2023-11-02,13,3,MOBILE,1001,7,1.9660987810736452
2023-11-02,13,3,MOBILE,1002,2,2.185475290831228
2023-11-02,14,3,MOBILE,1001,1,1.9606003521159834
2023-11-02,14,3,MOBILE,1002,1,1.2383313558887603
2023-11-02,15,3,MOBILE,1001,2,1.5573700009327736
2023-11-02,16,3,MOBILE,1001,2,3.19660204841012
2023-11-02,17,3,MOBILE,1001,6,2.674753280512355
2023-11-02,17,3,MOBILE,1003,2,1.4785444242659338
2023-11-02,18,3,MOBILE,1001,4,2.4274711338745516
2023-11-02,19,3,MOBILE,1001,5,2.4644787810703646
2023-11-02,19,3,MOBILE,1003,3,4.514967356243706
2023-11-02,20,3,MOBILE,1001,4,1.7168333169343555
2023-11-02,20,3,MOBILE,1003,2,3.1811628071521882
2023-11-02,21,3,MOBILE,1001,1,1.76556667191422
2023-11-02,21,3,MOBILE,1003,2,3.4808436781062806
2023-11-03,11,4,MOBILE,1001,3,2.1534026861210114
2023-11-03,11,4,MOBILE,1002,1,3.8314563429288038
2023-11-03,12,4,MOBILE,1001,9,2.4929074428516858
2023-11-03,12,4,MOBILE,1002,3,1.772288528122323
2023-11-03,13,4,MOBILE,1001,8,2.5212267574425433
2023-11-03,13,4,MOBILE,1002,1,2.973834238543196
2023-11-03,14,4,MOBILE,1001,5,2.2734186681890978
2023-11-03,14,4,MOBILE,1002,2,2.7463648793433357
2023-11-03,15,4,MOBILE,1001,2,2.113908102389918
2023-11-03,16,4,MOBILE,1001,4,2.39064267527868
2023-11-03,17,4,MOBILE,1001,13,2.142837855298949
2023-11-03,17,4,MOBILE,1003,1,5.9129669385165835
